event_id,index,farm_id,cow_id,ref_event_datetime,breed,birth_date,tv_serial,ax_serial,ax_days_before_calving,ax_id_assignment,season,country,cattle_mode,rank,event_type
FR0200971354_2015-08-22,198,FR-02440033,FR0200971354,2015-08-22 09:48:05,66,2013-07-23T00:00:00,01AFH,01JW3,30,219,ete,FR,laitier,genisse,tv_expulsion
FR0200971347_2015-08-20,195,FR-02440033,FR0200971347,2015-08-20 23:46:08,66,2013-01-11T00:00:00,01AFE,01JWS,21,167,ete,FR,laitier,genisse,tv_expulsion
FR0200971267_2015-08-19,191,FR-02440033,FR0200971267,2015-08-19 13:41:26,66,2011-09-07T00:00:00,01AFJ,01JX7,8,155,ete,FR,laitier,vache,tv_expulsion
FR0200971355_2015-08-16,199,FR-02440033,FR0200971355,2015-08-16 05:58:00,66,2013-07-28T00:00:00,01AFM,01O8T,24,235,ete,FR,laitier,genisse,tv_expulsion
FR0201238893_2015-08-15,210,FR-02440033,FR0201238893,2015-08-15 10:08:18,66,2013-03-24T00:00:00,01AFK,01JWC,16,168,ete,FR,laitier,genisse,tv_expulsion
FR0200971368_2015-08-14,201,FR-02440033,FR0200971368,2015-08-14 17:09:36,66,2013-08-29T00:00:00,01AFO,01JVY,22,218,ete,FR,laitier,genisse,tv_expulsion
FR0200971352_2015-08-13,196,FR-02440033,FR0200971352,2015-08-13 11:56:09,66,2013-07-19T00:00:00,01D42,01JWD,9,169,ete,FR,laitier,genisse,tv_expulsion
FR0202482613_2015-08-10,214,FR-02440033,FR0202482613,2015-08-10 19:33:36,66,2013-01-18T00:00:00,01AFN,01O8U,18,215,ete,FR,laitier,genisse,tv_expulsion
FR0202482634_2015-08-02,216,FR-02440033,FR0202482634,2015-08-02 04:41:05,66,2013-08-09T00:00:00,01D42,01JVS,10,217,ete,FR,laitier,genisse,tv_expulsion
FR0202482607_2015-07-15,213,FR-02440033,FR0202482607,2015-07-15 17:47:27,66,2012-11-27T00:00:00,01AFF,01JW5,19,151,ete,FR,laitier,genisse,tv_expulsion
